Title,Abstract,Link
Glioblastoma and brain connectivity: the need for a paradigm shift.,"Despite substantial advances in cancer treatment, for patients with glioblastoma prognosis remains bleak. The emerging field of cancer neuroscience reveals intricate functional interplays between glioblastoma and the cellular architecture of the brain, encompassing neurons, glia, and vessels. New findings underscore the role of structural and functional connections within hierarchical networks, known as the connectome. These connections contribute to the location, spread, and recurrence of a glioblastoma, and a patient's overall survival, revealing a complex interplay between the tumour and the CNS. This mounting evidence prompts a paradigm shift, challenging the perception of glioblastomas as mere foreign bodies within the brain. Instead, these tumours are intricately woven into the structural and functional fabric of the brain. This radical change in thinking holds profound implications for the understanding and treatment of glioblastomas, which could unveil new prognostic factors and surgical strategies and optimise radiotherapy. Additionally, a connectivity approach suggests that non-invasive brain stimulation could disrupt pathological neuron-glioma interactions within specific networks.",https://pubmed.ncbi.nlm.nih.gov/38876751
Understanding glioblastoma at the single-cell level: Recent advances and future challenges.,"Glioblastoma, the most aggressive and prevalent form of primary brain tumor, is characterized by rapid growth, diffuse infiltration, and resistance to therapies. Intrinsic heterogeneity and cellular plasticity contribute to its rapid progression under therapy; therefore, there is a need to fully understand these tumors at a single-cell level. Over the past decade, single-cell transcriptomics has enabled the molecular characterization of individual cells within glioblastomas, providing previously unattainable insights into the genetic and molecular features that drive tumorigenesis, disease progression, and therapy resistance. However, despite advances in single-cell technologies, challenges such as high costs, complex data analysis and interpretation, and difficulties in translating findings into clinical practice persist. As single-cell technologies are developed further, more insights into the cellular and molecular heterogeneity of glioblastomas are expected, which will help guide the development of personalized and effective therapies, thereby improving prognosis and quality of life for patients.",https://pubmed.ncbi.nlm.nih.gov/38814900
Identification of hypoxic macrophages in glioblastoma: Unveiling therapeutic insights from tumour microenvironment analysis.,"Tumor-associatedmacrophages (TAMs) exhibit remarkable heterogeneity in glioblastoma. Spatially resolved single-cell transcriptomic studies identified a monocyte-derived TAM subset localized in the peri-necrotic niche, driven by hypoxic cues to acquire ahypoxia response signature. These hypoxia-TAMs destabilize endothelial adherens junctions through adrenomedullin paracrine signaling, promoting the formation of hyperpermeable neovasculature that impedes drug delivery. Blocking adrenomedullin produced by hypoxia-TAMs restores vascular integrity, increases drug deliveryinto tumors, and provides combinatorial therapeutic benefits. Here we discuss the heterogeneity of TAMs regarding functional states and locations in glioblastomas, and propose future directions for studying the temporospatial dynamics of multifaceted TAM. HIGHLIGHTS: Single-cell omics reveal a functionally and spatially distinct hypoxia-TAM subset in glioblastoma. Adrenomedullin secreted by hypoxia-TAM destabilizes tumor vasculature and its blockade enhances vessel integrity and drug delivery.",https://pubmed.ncbi.nlm.nih.gov/39297872
[Glioblastoma in 2017].,"Glioblastomas are serious tumours of the central nervous system. Recurrence is systematic and prognosis poor. Radiotherapy and chemotherapy follow surgery, when surgery is possible, to lengthen survival, while preserving quality of life as much as possible. In this respect, symptomatic treatments and supportive care are necessary.",https://pubmed.ncbi.nlm.nih.gov/28160825
Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker.,"Background:
        
      
      Macrophages are the most common infiltrating immune cells in gliomas and play a wide variety of pro-tumor and anti-tumor roles. However, the different subpopulations of macrophages and their effects on the tumor microenvironment remain poorly understood.
    


          Methods:
        
      
      We combined new and previously published single-cell RNA-seq data from 98,015 single cells from a total of 66 gliomas to profile 19,331 individual macrophages.
    


          Results:
        
      
      Unsupervised clustering revealed a pro-tumor subpopulation of bone marrow-derived macrophages characterized by the scavenger receptor MARCO, which is almost exclusively found in IDH1-wild-type glioblastomas. Previous studies have implicated MARCO as an unfavorable marker in melanoma and non-small cell lung cancer; here, we find that bulk MARCO expression is associated with worse prognosis and mesenchymal subtype. Furthermore, MARCO expression is significantly altered over the course of treatment with anti-PD1 checkpoint inhibitors in a response-dependent manner, which we validate with immunofluorescence imaging.
    


          Conclusions:
        
      
      These findings illustrate a novel macrophage subpopulation that drives tumor progression in glioblastomas and suggest potential therapeutic targets to prevent their recruitment.",https://pubmed.ncbi.nlm.nih.gov/34011400
Perioperative Management of Patients with Glioblastoma.,"The clinical presentation of glioblastomas is varied, and definitive diagnosis requires pathologic examination and study of the tissue. Management of glioblastomas includes surgery and adjuvant chemotherapy and radiotherapy, with surgery playing an important role in the prognosis of these patients. Awake craniotomy plays a crucial role in tumors in or adjacent to eloquent areas, allowing surgeons to maximize resection, while minimizing iatrogenic deficits. However, the prognosis remains dismal. This article presents the perioperative management of patients with glioblastoma including tools and surgical adjuncts to maximize extent of resection and minimize poor outcomes.",https://pubmed.ncbi.nlm.nih.gov/33223018
"Exosomes: Their role in the diagnosis, progression, metastasis, and treatment of glioblastoma.","Exosomes are crucial for the growth and spread of glioblastomas, an aggressive form of brain cancer. These tiny vesicles play a crucial role in the activation of signaling pathways and intercellular communication. They can also transfer a variety of biomolecules such as proteins, lipids and nucleic acids from donor to recipient cells. Exosomes can influence the immune response by regulating the activity of immune cells, and they are crucial for the growth and metastasis of glioblastoma cells. In addition, exosomes contribute to drug resistance during treatment, which is a major obstacle in the treatment of glioblastoma. By studying them, the diagnosis and prognosis of glioblastoma can be improved. Due to their high biocompatibility and lack of toxicity, they have become an attractive option for drug delivery. The development of exosomes as carriers of specific therapeutic agents could overcome some of the obstacles to effective treatment of glioblastoma. In this review, we address the potential of exosomes for the treatment of glioblastoma and show how they can be modified for this purpose.",https://pubmed.ncbi.nlm.nih.gov/38806071
Glioblastoma stem cells.,"Glioblastomas are highly malignant primary brain tumors with one of the worst survival rates among all human cancers. With a more profound understanding of the cellular and molecular mechanisms of tumor initiation and acquired resistance to conventional radio- and chemotherapy, novel therapeutic targets might be discovered to optimize therapeutic approaches. In this regard, the identification of a small cellular subpopulation, called glioblastoma stem cell or stem-like cells or glioma-initiating cells or brain tumor propagating cells, has gained attention. In this article, we briefly summarize the current state of knowledge about this tumor cell population and discuss future directions for basic and clinical research.",https://pubmed.ncbi.nlm.nih.gov/21253762
Therapeutics and Research Related to Glioblastoma: Advancements and Future Targets.,"Glioblastoma, the most common primary brain tumor, has been recognized as one of the most lethal and fatal human tumors. It has a dismal prognosis, and survival after diagnosis is less than 15 months. Surgery and radiotherapy are the only available treatment options at present. However, numerous approaches have been made to upgrade in vivo and in vitro models with the primary goal of assessing abnormal molecular pathways that would be suitable targets for novel therapeutic approaches. Novel drugs, delivery systems, and immunotherapy strategies to establish new multimodal therapies that target the molecular pathways involved in tumor initiation and progression in glioblastoma are being studied. The goal of this review was to describe the pathophysiology, neurodegeneration mechanisms, signaling pathways, and future therapeutic targets associated with glioblastomas. The key features have been detailed to provide an up-to-date summary of the advancement required in current diagnosis and therapeutics for glioblastoma. The role of nanoparticulate system graphene quantum dots as suitable therapy for glioblastoma has also been discussed.",https://pubmed.ncbi.nlm.nih.gov/32268863
Risk factors for glioblastoma are shared by other brain tumor types.,"The reported risk factors for glioblastoma (GBM), i.e., ionizing radiation, Li-Fraumeni syndrome, Neurofibromatosis I, and Turcot syndrome, also increase the risk of other brain tumor types. Risk factors for human GBM are associated with different oncogenic mutation profiles. Pedigreed domestic dogs with a shorter nose and flatter face (brachycephalic dogs) display relatively high rates of glioma formation. The genetic profiles of canine gliomas are also idiosyncratic. The association of putatively different mutational patterns in humans and canines with GBM suggests that different oncogenic pathways can result in GBM formation. Strong epidemiological evidence for an association between exposure to chemical carcinogens and an increased risk for development of GBM is currently lacking. Ionizing radiation induces point mutations, frameshift mutations, double-strand breaks, and chromosomal insertions or deletions. Mutational profiles associated with chemical exposures overlap with the broad mutational patterns seen with ionizing radiation. Weak statistical associations between chemical exposures and GBM reported in epidemiology studies are biologically plausible. Molecular approaches comparing reproducible patterns seen in spontaneous GBM with analogous patterns found in GBMs resected from patients with known significant exposures to potentially carcinogenic chemicals can address difficulties presented by traditional exposure assessment.",https://pubmed.ncbi.nlm.nih.gov/38520250
