Source,Text,Link,Verb,Original_Form,Context
Title,"""Kisspeptin Promotes Glioblastoma Cell Invasiveness Via the Gq-PLC-PKC Pathway.""",https://pubmed.ncbi.nlm.nih.gov/31892569,invasiveness,invasiveness,kisspeptin promotes glioblastoma cell invasiveness via the gq-plc-pkc
Abstract,"""Kisspeptin Promotes Glioblastoma Cell Invasiveness Via the Gq-PLC-PKC Pathway.""",https://pubmed.ncbi.nlm.nih.gov/31892569,treat,treated,methods: glioblastoma cells were treated with kisspeptin and subjected to proliferation
Abstract,"""Kisspeptin Promotes Glioblastoma Cell Invasiveness Via the Gq-PLC-PKC Pathway.""",https://pubmed.ncbi.nlm.nih.gov/31892569,invasiveness,invasiveness,kisspeptin induces glioblastoma cell invasiveness via the kiss1r-gq-plc
Title,"""IGFBP5 is an ROR1 ligand promoting glioblastoma invasion via ROR1/HER2-CREB signaling axis.""",https://pubmed.ncbi.nlm.nih.gov/36949068,signal,signaling,ligand promoting glioblastoma invasion via ror1/her2-creb signaling axis
Title,"""Cancer stem cell contribution to glioblastoma invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/23510696,invasiveness,invasiveness,contribution to glioblastoma invasiveness.
Title,"""Presenilin1 inhibits glioblastoma cell invasiveness via promoting Sortilin cleavage.""",https://pubmed.ncbi.nlm.nih.gov/34781973,invasiveness,invasiveness,presenilin1 inhibits glioblastoma cell invasiveness via promoting sortilin cleavage.
Abstract,"""Presenilin1 inhibits glioblastoma cell invasiveness via promoting Sortilin cleavage.""",https://pubmed.ncbi.nlm.nih.gov/34781973,perform,performed,assays and glioblastoma transplantation were performed to detect invasion ability.
Abstract,"""Mechanisms of invasion in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/32852310,interact,interact,by which glioblastoma cells interact with their cellular and molecular partners within
Abstract,"""Mechanisms of invasion in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/32852310,make,make,properties of glioblastoma make complete surgical resection impossible and highly invasive cells
Abstract,"""Tumor Cell Invasion in Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/32178267,escape,escape,invasive glioblastoma cells escape surgery and focal therapies and thus represent
Abstract,"""Tumor Cell Invasion in Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/32178267,consider,considering,resistance in glioblastoma when considering new therapeutic approaches.
Abstract,"""The role of proteolysis in tumor invasiveness in glioblastoma and metastatic brain tumors.""",https://pubmed.ncbi.nlm.nih.gov/12553067,accompany,accompanied,"features in glioblastoma, which are accompanied by remodeling of the vasculature"
Abstract,"""The role of proteolysis in tumor invasiveness in glioblastoma and metastatic brain tumors.""",https://pubmed.ncbi.nlm.nih.gov/12553067,associate,associated,spread of glioblastoma is often associated with poor prognosis.
Abstract,"""The role of proteolysis in tumor invasiveness in glioblastoma and metastatic brain tumors.""",https://pubmed.ncbi.nlm.nih.gov/12553067,appear,appears,character of glioblastoma appears to depend partly on the proteolytic destruction of
Abstract,"""The role of proteolysis in tumor invasiveness in glioblastoma and metastatic brain tumors.""",https://pubmed.ncbi.nlm.nih.gov/12553067,provide,provide,molecules in glioblastoma might provide an insight into the regulatory pathway of
Abstract,"""An Experimenter's Guide to Glioblastoma Invasion Pathways.""",https://pubmed.ncbi.nlm.nih.gov/30072121,characterize,characterized,glioblastoma is a highly aggressive brain tumor that is characterized
Abstract,"""An Experimenter's Guide to Glioblastoma Invasion Pathways.""",https://pubmed.ncbi.nlm.nih.gov/30072121,escape,escape,invasive glioblastoma cells not only escape surgery and focal therapies but
Abstract,"""An Experimenter's Guide to Glioblastoma Invasion Pathways.""",https://pubmed.ncbi.nlm.nih.gov/30072121,conclude,conclude,of various glioblastoma invasion models and conclude that robust experimental evidence has
Abstract,"""An Experimenter's Guide to Glioblastoma Invasion Pathways.""",https://pubmed.ncbi.nlm.nih.gov/30072121,signal,signaling,of a glioblastoma invasion signaling network that comprises several targets for therapy
Title,"""Fibrinogen in the glioblastoma microenvironment contributes to the invasiveness of brain tumor-initiating cells.""",https://pubmed.ncbi.nlm.nih.gov/33694259,contribute,contributes,in the glioblastoma microenvironment contributes to the invasiveness of brain tumor-
Title,"""Mesenchymal Stem-Like Cells Derived from the Ventricle More Effectively Enhance Invasiveness of Glioblastoma Than Those Derived from the Tumor.""",https://pubmed.ncbi.nlm.nih.gov/36825341,derive,derived,invasiveness of glioblastoma than those derived from the tumor.
Abstract,"""The Glycoprotein M6a Is Associated with Invasiveness and Radioresistance of Glioblastoma Stem Cells.""",https://pubmed.ncbi.nlm.nih.gov/35883571,target,target,"treatment of glioblastoma since it would simultaneously target proliferation, invasion,"
Abstract,"""K(Ca) channel targeting impairs DNA repair and invasiveness of patient-derived glioblastoma stem cells in culture and orthotopic mouse xenografts which only in part is predictable by K(Ca) expression levels.""",https://pubmed.ncbi.nlm.nih.gov/38938062,spread,spreading,radioresistance and glioblastoma spreading in pgsc cultures and in pgsc-derived
Title,"""Exosomal L1CAM Stimulates Glioblastoma Cell Motility, Proliferation, and Invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/31426278,invasiveness,invasiveness,"l1cam stimulates glioblastoma cell motility, proliferation, and invasiveness."
Abstract,"""Exosomal L1CAM Stimulates Glioblastoma Cell Motility, Proliferation, and Invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/31426278,express,express,", including glioblastoma (gbm), also abnormally express l1,"
Title,"""Pharmacotherapy of Glioblastoma: Established Treatments and Emerging Concepts.""",https://pubmed.ncbi.nlm.nih.gov/28681349,establish,established,pharmacotherapy of glioblastoma: established treatments and emerging concepts.
Abstract,"""Pharmacotherapy of Glioblastoma: Established Treatments and Emerging Concepts.""",https://pubmed.ncbi.nlm.nih.gov/28681349,include,includes,"treatment for glioblastoma includes maximal safe surgical resection, radiation, and"
Abstract,"""Pharmacotherapy of Glioblastoma: Established Treatments and Emerging Concepts.""",https://pubmed.ncbi.nlm.nih.gov/28681349,survive,survive,"% of glioblastoma patients survive to 5 years, and no therapies"
Title,"""Stemness, invasion, and immunosuppression modulation in recurrent glioblastoma using nanotherapy.""",https://pubmed.ncbi.nlm.nih.gov/39091260,use,using,in recurrent glioblastoma using nanotherapy.
Abstract,"""Stemness, invasion, and immunosuppression modulation in recurrent glioblastoma using nanotherapy.""",https://pubmed.ncbi.nlm.nih.gov/39091260,impact,impacts,nature of glioblastoma negatively impacts conventional treatment strategies leading to a growing
Abstract,"""Basal caspase activity promotes migration and invasiveness in glioblastoma cells.""",https://pubmed.ncbi.nlm.nih.gov/18171980,prevent,prevent,response of glioblastomas to radiochemotherapy and prevent their complete neurosurgical resection.
Abstract,"""Basal caspase activity promotes migration and invasiveness in glioblastoma cells.""",https://pubmed.ncbi.nlm.nih.gov/18171980,exhibit,exhibit,", human glioblastoma cells exhibit a constitutive activation of caspases in vivo"
Abstract,"""TPPP3 promote epithelial-mesenchymal transition via Snail1 in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37863960,remain,remain,mechanisms in glioblastoma multiforme (gbm) remain unclear.
Abstract,"""TPPP3 promote epithelial-mesenchymal transition via Snail1 in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37863960,confer,confer,"expression in glioblastoma cells confer stronger ability of migration, invasion,"
Abstract,"""TPPP3 promote epithelial-mesenchymal transition via Snail1 in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37863960,provide,provides,"tppp3 in glioblastoma in the future, and provides new treatment and"
Title,"""CHD7 promotes glioblastoma cell motility and invasiveness through transcriptional modulation of an invasion signature.""",https://pubmed.ncbi.nlm.nih.gov/30850678,invasiveness,invasiveness,chd7 promotes glioblastoma cell motility and invasiveness through transcriptional modulation of an
Abstract,"""CHD7 promotes glioblastoma cell motility and invasiveness through transcriptional modulation of an invasion signature.""",https://pubmed.ncbi.nlm.nih.gov/30850678,test,tested,role in glioblastoma has not yet been tested.
Abstract,"""CHD7 promotes glioblastoma cell motility and invasiveness through transcriptional modulation of an invasion signature.""",https://pubmed.ncbi.nlm.nih.gov/30850678,suppress,suppresses,in ln-229 glioblastoma cells suppresses anchorage-independent growth and spheroid invasion
Abstract,"""CHD7 promotes glioblastoma cell motility and invasiveness through transcriptional modulation of an invasion signature.""",https://pubmed.ncbi.nlm.nih.gov/30850678,increase,increases,and a172 glioblastoma cell lines increases cell motility and invasiveness in vitro
Abstract,"""Glial Cell Adhesion Molecule (GlialCAM) Determines Proliferative versus Invasive Cell States in Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37722850,contain,contains,brain cancer glioblastoma (gbm) contains groups of highly invasive cells
Abstract,"""Glial Cell Adhesion Molecule (GlialCAM) Determines Proliferative versus Invasive Cell States in Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37722850,contain,contains,microenvironment.significance statement glioblastoma (gbm) contains heterogeneous populations of cells that
Abstract,"""Should I stay or should I go? Transsulfuration influences invasion and growth in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38299594,eliminate,eliminate,patients with glioblastoma is the inability to eliminate highly invasive cells with
Abstract,"""Should I stay or should I go? Transsulfuration influences invasion and growth in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38299594,proliferate,proliferate,of redirecting glioblastoma to proliferate or invade.
Abstract,"""Nanobodies targeting ABCC3 for immunotargeted applications in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/36585418,identify,identified,"analysis from glioblastoma patient datasets, we identified atp binding cassette subfamily"
Title,"""Glioblastoma-Astrocyte Connexin 43 Gap Junctions Promote Tumor Invasion.""",https://pubmed.ncbi.nlm.nih.gov/34654721,promote,promote,glioblastoma-astrocyte connexin 43 gap junctions promote tumor invasion
Abstract,"""Glioblastoma-Astrocyte Connexin 43 Gap Junctions Promote Tumor Invasion.""",https://pubmed.ncbi.nlm.nih.gov/34654721,classify,classified,"glioblastoma multiforme (gbm), classified as world health"
Abstract,"""Glioblastoma-Astrocyte Connexin 43 Gap Junctions Promote Tumor Invasion.""",https://pubmed.ncbi.nlm.nih.gov/34654721,enable,enable,profoundly impacts glioblastoma invasion and may enable further therapeutic insight.
Abstract,"""Glioblastoma niches: from the concept to the phenotypical reality.""",https://pubmed.ncbi.nlm.nih.gov/29736738,debate,debated,angiogenesis in glioblastoma (gb) has been extensively debated.
Abstract,"""Glioblastoma niches: from the concept to the phenotypical reality.""",https://pubmed.ncbi.nlm.nih.gov/29736738,reside,reside,"in which glioblastoma stem cells (gscs) reside, have been"
Abstract,"""CRISPRi screen of long non-coding RNAs identifies LINC03045 regulating glioblastoma invasion.""",https://pubmed.ncbi.nlm.nih.gov/38857306,focus,focused,introduction: glioblastoma (gbm) invasion studies have focused on coding
Title,"""Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.""",https://pubmed.ncbi.nlm.nih.gov/23624869,involve,involving,invasiveness of glioblastoma cells involving upregulation of ppp1r13l.
Abstract,"""Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.""",https://pubmed.ncbi.nlm.nih.gov/23624869,transfecte,transfected,"invasion in glioblastoma cells, u251 and u373 glioblastoma cells were transfected"
Abstract,"""Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.""",https://pubmed.ncbi.nlm.nih.gov/23624869,transfecte,transfected,"and u373 glioblastoma cells were transfected with mir-124 mimics, its negative"
Abstract,"""Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.""",https://pubmed.ncbi.nlm.nih.gov/23624869,regulate,regulated,"downregulated in glioblastoma tissues, and inversely regulated ppp1r13l expression in u251"
Abstract,"""Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.""",https://pubmed.ncbi.nlm.nih.gov/23624869,attribute,attributed,progression of glioblastoma was partly attributed to increased ppp1r13l expression.
Abstract,"""Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.""",https://pubmed.ncbi.nlm.nih.gov/23624869,suggest,suggest,of human glioblastoma and suggest a novel target for the treatment of
Title,"""Diamond, graphite, and graphene oxide nanoparticles decrease migration and invasiveness in glioblastoma cell lines by impairing extracellular adhesion.""",https://pubmed.ncbi.nlm.nih.gov/29042773,impair,impairing,invasiveness in glioblastoma cell lines by impairing extracellular adhesion.
Abstract,"""Diamond, graphite, and graphene oxide nanoparticles decrease migration and invasiveness in glioblastoma cell lines by impairing extracellular adhesion.""",https://pubmed.ncbi.nlm.nih.gov/29042773,regard,regarding,nature of glioblastoma is one of the most significant problems regarding the
Title,"""Chronophin is a glial tumor modifier involved in the regulation of glioblastoma growth and invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/26549022,invasiveness,invasiveness,regulation of glioblastoma growth and invasiveness.
Abstract,"""Chronophin is a glial tumor modifier involved in the regulation of glioblastoma growth and invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/26549022,correlate,correlated,"downregulation in glioblastomas, which correlated with shorter glioblastoma patient survival."
Abstract,"""Chronophin is a glial tumor modifier involved in the regulation of glioblastoma growth and invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/26549022,show,showed,"-deficient glioblastoma cells showed elevated cofilin phosphorylation, an increase in"
Abstract,"""Chronophin is a glial tumor modifier involved in the regulation of glioblastoma growth and invasiveness.""",https://pubmed.ncbi.nlm.nih.gov/26549022,xenografte,xenografted,-depleted glioblastoma cells xenografted into the immunodeficient mouse brain was strongly
Title,"""Glioblastoma angiogenesis and tumor cell invasiveness are differentially regulated by beta8 integrin.""",https://pubmed.ncbi.nlm.nih.gov/21859829,regulate,regulated,glioblastoma angiogenesis and tumor cell invasiveness are differentially regulated by
Abstract,"""Arginine deprivation affects glioblastoma cell adhesion, invasiveness and actin cytoskeleton organization by impairment of beta-actin arginylation.""",https://pubmed.ncbi.nlm.nih.gov/25362567,evoke,evoked,"deprivation in glioblastoma evoked specific changes in actin assembly, decreased β"
Title,"""Classification of IDH wild-type glioblastoma tumorspheres into low- and high-invasion groups based on their transcriptional program.""",https://pubmed.ncbi.nlm.nih.gov/37558923,tumorsphere,tumorspheres,-type glioblastoma tumorspheres into low- and high-invasion groups based
Abstract,"""Cross-platform analysis reveals cellular and molecular landscape of glioblastoma invasion.""",https://pubmed.ncbi.nlm.nih.gov/35901838,need,needs,"treatment of glioblastoma (gbm) needs to address tumor invasion,"
Abstract,"""Invasion as target for therapy of glioblastoma multiforme.""",https://pubmed.ncbi.nlm.nih.gov/23891970,limit,limited,suffering from glioblastoma multiforme is limited to just a few months even
Abstract,"""Invasion as target for therapy of glioblastoma multiforme.""",https://pubmed.ncbi.nlm.nih.gov/23891970,surround,surrounding,borders of glioblastoma cell infiltration into the surrounding healthy tissue prevent complete
Abstract,"""Invasion as target for therapy of glioblastoma multiforme.""",https://pubmed.ncbi.nlm.nih.gov/23891970,target,targeted,behavior of glioblastoma cells and how this can be targeted.
Abstract,"""Invasion as target for therapy of glioblastoma multiforme.""",https://pubmed.ncbi.nlm.nih.gov/23891970,add,adds,matrix in glioblastoma and adds some perspective thoughts on how this knowledge
Abstract,"""Signaling Determinants of Glioma Cell Invasion.""",https://pubmed.ncbi.nlm.nih.gov/32034712,include,including,"regulation of glioblastoma invasion are rho family gtpases, including rac,"
Abstract,"""The Role of Rho GTPases in Motility and Invasion of Glioblastoma Cells.""",https://pubmed.ncbi.nlm.nih.gov/32089990,occur,occur,astrocytoma or glioblastoma is a highly invasive tumor that occur within the
Title,"""Stem cell niche irradiation in glioblastoma: providing a ray of hope?""",https://pubmed.ncbi.nlm.nih.gov/25363009,provide,providing,irradiation in glioblastoma: providing a ray of hope?
Abstract,"""Stem cell niche irradiation in glioblastoma: providing a ray of hope?""",https://pubmed.ncbi.nlm.nih.gov/25363009,organize,organized,glioblastomas are organized hierarchically with a small number of glioblastoma
Abstract,"""Stem cell niche irradiation in glioblastoma: providing a ray of hope?""",https://pubmed.ncbi.nlm.nih.gov/25363009,have,have,number of glioblastoma stem cells that have unique self-renewal capacity
Abstract,"""Stem cell niche irradiation in glioblastoma: providing a ray of hope?""",https://pubmed.ncbi.nlm.nih.gov/25363009,initiate,initiate,"reservoir of glioblastoma stem cells that can initiate, promote or repopulate"
Abstract,"""Stem cell niche irradiation in glioblastoma: providing a ray of hope?""",https://pubmed.ncbi.nlm.nih.gov/25363009,offer,offers,"the putative glioblastoma stem cell in the svz, and offers a"
Abstract,"""PTEN inhibits AMPK to control collective migration.""",https://pubmed.ncbi.nlm.nih.gov/35953476,open,opening,"-null glioblastoma cell invasion, opening new opportunities to treat glioblastoma"
Abstract,"""Metabolic Vulnerabilities in Brain Cancer.""",https://pubmed.ncbi.nlm.nih.gov/33781499,alter,altered,glioblastomas (gbms) exhibit altered metabolism to support a
Title,"""Harnessing the role of aberrant cell signaling pathways in glioblastoma multiforme: a prospect towards the targeted therapy.""",https://pubmed.ncbi.nlm.nih.gov/39424705,target,targeted,pathways in glioblastoma multiforme: a prospect towards the targeted therapy.
Abstract,"""Harnessing the role of aberrant cell signaling pathways in glioblastoma multiforme: a prospect towards the targeted therapy.""",https://pubmed.ncbi.nlm.nih.gov/39424705,designate,designated,"glioblastoma multiforme (gbm), designated as grade iv"
Abstract,"""Knockdown of RAD18 inhibits glioblastoma development.""",https://pubmed.ncbi.nlm.nih.gov/31081138,underlie,underlying,regulation of glioblastoma development as well as the underlying mechanisms.
Abstract,"""Knockdown of RAD18 inhibits glioblastoma development.""",https://pubmed.ncbi.nlm.nih.gov/31081138,transfecte,transfected,the human glioblastoma u251 and u87mg cells were transfected with sirnas
Abstract,"""Knockdown of RAD18 inhibits glioblastoma development.""",https://pubmed.ncbi.nlm.nih.gov/31081138,regulate,regulating,may inhibit glioblastoma development by regulating the expression of the aforementioned key
Abstract,"""Emerging functions of microRNAs in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/19357957,include,including,"characteristics of glioblastoma, including cell proliferation, invasion, glioma stem"
Abstract,"""Bevacizumab for glioblastoma: current indications, surgical implications, and future directions.""",https://pubmed.ncbi.nlm.nih.gov/25581938,neutralize,neutralizing,treating recurrent glioblastomas with the antiangiogenic drug bevacizumab—a neutralizing antibody
Abstract,"""Bevacizumab for glioblastoma: current indications, surgical implications, and future directions.""",https://pubmed.ncbi.nlm.nih.gov/25581938,design,designed,"bevacizumab for glioblastoma treatment to date, ongoing trials designed to address"
Title,"""Motility of glioblastoma cells is driven by netrin-1 induced gain of stemness.""",https://pubmed.ncbi.nlm.nih.gov/28069038,drive,driven,motility of glioblastoma cells is driven by netrin-1 induced gain of stemness
Abstract,"""Motility of glioblastoma cells is driven by netrin-1 induced gain of stemness.""",https://pubmed.ncbi.nlm.nih.gov/28069038,localize,localized,in glioblastoma tumor biopsies netrin-1 localized to hypoxic tumor areas known
Abstract,"""Motility of glioblastoma cells is driven by netrin-1 induced gain of stemness.""",https://pubmed.ncbi.nlm.nih.gov/28069038,invade,invading,-invasive glioblastoma cells into diffusively invading and increased the expression of
Abstract,"""Motility of glioblastoma cells is driven by netrin-1 induced gain of stemness.""",https://pubmed.ncbi.nlm.nih.gov/28069038,result,resulting,signaling in glioblastoma cells resulting in subsequent gain of stemness and enhanced
Abstract,"""Treatment with Gold Nanoparticles Using Cudrania tricuspidata Root Extract Induced Downregulation of MMP-2/-9 and PLD1 and Inhibited the Invasiveness of Human U87 Glioblastoma Cells.""",https://pubmed.ncbi.nlm.nih.gov/32074974,perform,performed,with human glioblastoma cells were performed to investigate the anti-invasive
Abstract,"""Treatment with Gold Nanoparticles Using Cudrania tricuspidata Root Extract Induced Downregulation of MMP-2/-9 and PLD1 and Inhibited the Invasiveness of Human U87 Glioblastoma Cells.""",https://pubmed.ncbi.nlm.nih.gov/32074974,induce,induced,invasion of glioblastoma cells induced by pma through transcriptional and translational regulation
Abstract,"""Microtubule-associated NAV3 regulates invasive phenotypes in glioblastoma cells.""",https://pubmed.ncbi.nlm.nih.gov/39097525,consider,considered,", including glioblastoma, and has thus been considered a tumor suppressor"
Abstract,"""Microtubule-associated NAV3 regulates invasive phenotypes in glioblastoma cells.""",https://pubmed.ncbi.nlm.nih.gov/39097525,derive,derived,using glioblastoma cell lines and patient-derived glioma stem-
Abstract,"""Microtubule-associated NAV3 regulates invasive phenotypes in glioblastoma cells.""",https://pubmed.ncbi.nlm.nih.gov/39097525,contrast,contrasting,"in invading glioblastoma cells, contrasting with its lower expression in cells"
Abstract,"""Microtubule-associated NAV3 regulates invasive phenotypes in glioblastoma cells.""",https://pubmed.ncbi.nlm.nih.gov/39097525,provide,providing,"nav3 in glioblastoma invasion, providing insights into this lethal aspect of"
Title,"""Role of microRNAs in mechanisms of glioblastoma resistance to radio- and chemotherapy.""",https://pubmed.ncbi.nlm.nih.gov/23590435,radio-,radio-,mechanisms of glioblastoma resistance to radio- and chemotherapy.
Abstract,"""Role of microRNAs in mechanisms of glioblastoma resistance to radio- and chemotherapy.""",https://pubmed.ncbi.nlm.nih.gov/23590435,characterize,characterized,"and multiform glioblastoma are characterized by highly pronounced anaplasia, malignization,"
Abstract,"""Role of micro-RNA (miRNA) in pathogenesis of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/26004603,play,play,"pathogenesis of glioblastoma, as mirnas play a critical role in the"
Abstract,"""Glioblastoma invasion and NMDA receptors: A novel prospect.""",https://pubmed.ncbi.nlm.nih.gov/31564120,create,create,"purpose: glioblastoma cells create glutamate-rich tumor microenvironment, which"
Abstract,"""Glioblastoma invasion and NMDA receptors: A novel prospect.""",https://pubmed.ncbi.nlm.nih.gov/31564120,stimulate,stimulated,-derived glioblastoma cells were stimulated with nmda to activate nmdar glutamate
Abstract,"""Glioblastoma invasion and NMDA receptors: A novel prospect.""",https://pubmed.ncbi.nlm.nih.gov/31564120,investigate,investigated,migration of glioblastoma cells were investigated by in vitro trans-well
Abstract,"""Glioblastoma invasion and NMDA receptors: A novel prospect.""",https://pubmed.ncbi.nlm.nih.gov/31564120,use,using,"-derived glioblastoma cells, whereas inhibition of nmdar using mk-801,"
Abstract,"""Genetics of glioblastoma: a window into its imaging and histopathologic variability.""",https://pubmed.ncbi.nlm.nih.gov/21997991,defy,defies,glioblastoma is a highly malignant brain tumor that relentlessly defies
