Source,Text,Link,Verb,Original_Form,Context
Abstract,"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""",https://pubmed.ncbi.nlm.nih.gov/31160393,induce,induce,glioblastomas induce a systemic immunosuppression with mixed responses to oncoimmunologic
Abstract,"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""",https://pubmed.ncbi.nlm.nih.gov/31160393,offer,offers,"collectively, glioblastoma offers a reliable cancer to study cancer stem cells"
Abstract,"""Current status and recent advances in reirradiation of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/33602305,recur,recur,"gliomas (glioblastomas, gbm) will recur locally within 2 years"
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,develop,develop,majority of glioblastomas (~90%) develop rapidly de novo in
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,differ,differ,"and secondary glioblastomas are largely indistinguishable, but they differ in their"
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,associate,associated,in primary glioblastomas and which are associated with a hypermethylation phenotype.
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,originate,originate,and secondary glioblastomas are distinct tumor entities that originate from different precursor
Abstract,"""Single-cell RNA sequencing reveals tumor heterogeneity, microenvironment, and drug-resistance mechanisms of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/36853018,remain,remains,"chemotherapy, glioblastoma remains refractory to treatment and recurrence is inevitable."
Abstract,"""Single-cell RNA sequencing reveals tumor heterogeneity, microenvironment, and drug-resistance mechanisms of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/36853018,remain,remains,of recurrent glioblastoma remains unclear.
Title,"""Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker.""",https://pubmed.ncbi.nlm.nih.gov/34011400,reveal,reveals,macrophages in glioblastoma reveals marco as a mesenchymal pro-tumor marker
Abstract,"""Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker.""",https://pubmed.ncbi.nlm.nih.gov/34011400,suggest,suggest,progression in glioblastomas and suggest potential therapeutic targets to prevent their recruitment
Abstract,"""Medicinal Plants for Glioblastoma Treatment.""",https://pubmed.ncbi.nlm.nih.gov/34939551,demonstrate,demonstrates,"glioblastoma, an aggressive brain cancer, demonstrates the least"
Abstract,"""Medicinal Plants for Glioblastoma Treatment.""",https://pubmed.ncbi.nlm.nih.gov/34939551,use,used,valuable for glioblastoma prevention and its incidence by effectively being used as
Abstract,"""Understanding glioblastoma at the single-cell level: Recent advances and future challenges.""",https://pubmed.ncbi.nlm.nih.gov/38814900,provide,providing,"cells within glioblastomas, providing previously unattainable insights into the genetic and"
Abstract,"""Understanding glioblastoma at the single-cell level: Recent advances and future challenges.""",https://pubmed.ncbi.nlm.nih.gov/38814900,expect,expected,"heterogeneity of glioblastomas are expected, which will help guide the development"
Abstract,"""The cause of death in patients with glioblastoma is multifactorial: clinical factors and autopsy findings in 117 cases of supratentorial glioblastoma in adults.""",https://pubmed.ncbi.nlm.nih.gov/1654403,review,reviewed,with supratentorial glioblastoma multiforme (gm) we reviewed 117 consecutive cases
Title,"""Single-cell landscapes of primary glioblastomas and matched explants and cell lines show variable retention of inter- and intratumor heterogeneity.""",https://pubmed.ncbi.nlm.nih.gov/35303420,match,matched,of primary glioblastomas and matched explants and cell lines show variable retention
Abstract,"""Single-cell landscapes of primary glioblastomas and matched explants and cell lines show variable retention of inter- and intratumor heterogeneity.""",https://pubmed.ncbi.nlm.nih.gov/35303420,characterize,characterized,glioblastomas (gbms) are aggressive brain tumors characterized by
Abstract,"""Intraventricular Glioblastomas.""",https://pubmed.ncbi.nlm.nih.gov/26773981,treat,treated,all intracranial glioblastomas treated in 2 different neurosurgical departments during the last
Abstract,"""Intraventricular Glioblastomas.""",https://pubmed.ncbi.nlm.nih.gov/26773981,include,included,proven intraventricular glioblastomas were included in the study.
Abstract,"""Intraventricular Glioblastomas.""",https://pubmed.ncbi.nlm.nih.gov/26773981,affect,affect,: intraventricular glioblastoma is extremely rare and can affect younger individuals including
Abstract,"""Neoplastic Myelopathies.""",https://pubmed.ncbi.nlm.nih.gov/29613896,recognize,recognized,"grade iv glioblastomas, and newly recognized pediatric diffuse midline gliomas with"
Title,"""Risk factors for glioblastoma are shared by other brain tumor types.""",https://pubmed.ncbi.nlm.nih.gov/38520250,share,shared,factors for glioblastoma are shared by other brain tumor types.
Abstract,"""Risk factors for glioblastoma are shared by other brain tumor types.""",https://pubmed.ncbi.nlm.nih.gov/38520250,ionize,ionizing,"factors for glioblastoma (gbm), i.e., ionizing radiation,"
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,emerge,emerged,pivotal in glioblastoma treatment resistance and dna methylation emerged as an important
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,subject,subjected,"from 47 glioblastoma patients were subjected to dna methylation profiling, including"
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,show,showed,"general, glioblastomas with a subclass transition showed upregulated metabolic processes."
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,display,displayed,newly diagnosed glioblastomas with mesenchymal transition displayed increased stem cell-like
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,show,showed,of recurrent glioblastomas with mesenchymal transition showed increased immune components but decreased
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,impact,impacting,"% of glioblastomas, not impacting patient survival."
Abstract,"""Temporal change of DNA methylation subclasses between matched newly diagnosed and recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38244080,target,targeted,for recurrent glioblastoma targeted therapies.
Abstract,"""Management of Elderly Patients with Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/28324304,represent,represents,review: glioblastoma represents one of the major challenges in neurooncology and
Abstract,"""Management of Elderly Patients with Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/28324304,remain,remains,patients with glioblastoma remains poor.
Abstract,"""Surgical site infections after glioblastoma surgery: boon or bane?""",https://pubmed.ncbi.nlm.nih.gov/38279060,clarify,clarified,course of glioblastoma patients has not been fully clarified since available data
Abstract,"""Surgical site infections after glioblastoma surgery: boon or bane?""",https://pubmed.ncbi.nlm.nih.gov/38279060,scan,scanned,surgery for glioblastoma between 2010 and 2020 in our institution were scanned
Abstract,"""Surgical site infections after glioblastoma surgery: boon or bane?""",https://pubmed.ncbi.nlm.nih.gov/38279060,identify,identified,infections after glioblastoma resection were identified and compared to an age-
Title,"""Extracranial metastasis of brain glioblastoma outside CNS: Pathogenesis revisited.""",https://pubmed.ncbi.nlm.nih.gov/37814403,revisit,revisited,of brain glioblastoma outside cns: pathogenesis revisited.
Abstract,"""Extracranial metastasis of brain glioblastoma outside CNS: Pathogenesis revisited.""",https://pubmed.ncbi.nlm.nih.gov/37814403,exist,exists,"metastasis of glioblastoma pathogenesis, no effective treatment exists to date."
Abstract,"""Extracranial metastasis of brain glioblastoma outside CNS: Pathogenesis revisited.""",https://pubmed.ncbi.nlm.nih.gov/37814403,worsen,worsen,for metastatic glioblastoma as their side effects may worsen the patient prognosis
Abstract,"""Extracranial metastasis of brain glioblastoma outside CNS: Pathogenesis revisited.""",https://pubmed.ncbi.nlm.nih.gov/37814403,require,requires,metastasis of glioblastoma requires further investigation with a wide inclusion of patients
Title,"""Glutamatergic Mechanisms in Glioblastoma and Tumor-Associated Epilepsy.""",https://pubmed.ncbi.nlm.nih.gov/34067762,associate,associated,mechanisms in glioblastoma and tumor-associated epilepsy.
Abstract,"""Glutamatergic Mechanisms in Glioblastoma and Tumor-Associated Epilepsy.""",https://pubmed.ncbi.nlm.nih.gov/34067762,associate,associated,"progression of glioblastomas is associated with a variety of neurological impairments,"
Abstract,"""Glutamatergic Mechanisms in Glioblastoma and Tumor-Associated Epilepsy.""",https://pubmed.ncbi.nlm.nih.gov/34067762,associate,associated,"both, glioblastoma and tumor-associated epilepsy are closely linked to"
Title,"""Glioblastoma and dementia may share a common cause.""",https://pubmed.ncbi.nlm.nih.gov/20181435,share,share,glioblastoma and dementia may share a common cause.
Abstract,"""Glioblastoma and dementia may share a common cause.""",https://pubmed.ncbi.nlm.nih.gov/20181435,share,share,'s and glioblastoma may share an as yet unknown peripheral tissue pathway
Abstract,"""Glioblastoma patients' survival and its relevant risk factors during the pre-COVID-19 and post-COVID-19 pandemic: real-world cohort study in the USA and China.""",https://pubmed.ncbi.nlm.nih.gov/38376848,remain,remains,"patients with glioblastomas (gbms), it remains unclear whether the"
Abstract,"""The Impacts of miRNAs in Glioblastoma Progression.""",https://pubmed.ncbi.nlm.nih.gov/27480776,find,found,studies in glioblastoma patients have found that aberrant mirna expression can be
Abstract,"""[Radiosurgery for recurrent glioblastoma].""",https://pubmed.ncbi.nlm.nih.gov/34951763,occur,occurs,", recurrent glioblastoma usually occurs within several months after resection and causes"
Abstract,"""[Radiosurgery for recurrent glioblastoma].""",https://pubmed.ncbi.nlm.nih.gov/34951763,identify,identify,with recurrent glioblastoma and to identify the factors determining its effectiveness.
Abstract,"""A Conceptual Framework for Inducing T Cell-Mediated Immunity Against Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/35505129,infiltrate,infiltrate,within each glioblastoma and the ability of glioma cells to diffusely infiltrate
Abstract,"""A Conceptual Framework for Inducing T Cell-Mediated Immunity Against Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/35505129,tend,tend,"is that glioblastomas tend to be poorly infiltrated by t cells,"
Abstract,"""A Conceptual Framework for Inducing T Cell-Mediated Immunity Against Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/35505129,direct,directed,"to induce glioblastoma-directed t cell responses, including neoantigen-"
Abstract,"""Management of glioblastoma multiforme in pregnancy.""",https://pubmed.ncbi.nlm.nih.gov/22404670,present,presenting,glioblastoma multiforme presenting during pregnancy presents unique challenges to the
Title,"""Glioblastoma multiforme: emerging treatments and stratification markers beyond new drugs.""",https://pubmed.ncbi.nlm.nih.gov/26159214,emerge,emerging,glioblastoma multiforme: emerging treatments and stratification markers beyond new
Abstract,"""Glioblastoma with Probable Intratumoral Adenocarcinoma Metastasis: A Rare Report with Review of Literature.""",https://pubmed.ncbi.nlm.nih.gov/38378180,support,supporting,"ruling out glioblastoma with true epithelial metaplasia, and supporting the diagnosis"
Abstract,"""Therapeutics and Research Related to Glioblastoma: Advancements and Future Targets.""",https://pubmed.ncbi.nlm.nih.gov/32268863,study,studied,progression in glioblastoma are being studied.
Abstract,"""Therapeutics and Research Related to Glioblastoma: Advancements and Future Targets.""",https://pubmed.ncbi.nlm.nih.gov/32268863,discuss,discussed,therapy for glioblastoma has also been discussed.
Abstract,"""Molecular heterogeneity of glioblastoma and its clinical relevance.""",https://pubmed.ncbi.nlm.nih.gov/25156108,constitute,constitutes,glioblastoma is the most common intracranial malignancy and constitutes about
Abstract,"""Molecular heterogeneity of glioblastoma and its clinical relevance.""",https://pubmed.ncbi.nlm.nih.gov/25156108,explain,explain,profiles in glioblastoma may explain the difficulties encountered in the validation of
Abstract,"""Molecular heterogeneity of glioblastoma and its clinical relevance.""",https://pubmed.ncbi.nlm.nih.gov/25156108,call,call,"heterogeneity of glioblastomas, and call attention to the importance of this"
Title,"""Glioblastoma chemotherapy adjunct via potent serotonin receptor-7 inhibition using currently marketed high-affinity antipsychotic medicines.""",https://pubmed.ncbi.nlm.nih.gov/20880389,use,using,glioblastoma chemotherapy adjunct via potent serotonin receptor-7 inhibition using currently
Abstract,"""Glioblastoma chemotherapy adjunct via potent serotonin receptor-7 inhibition using currently marketed high-affinity antipsychotic medicines.""",https://pubmed.ncbi.nlm.nih.gov/20880389,constitute,constituted,glioblastoma treatment as now constituted offers increased survival measured in
Abstract,"""Glioblastoma chemotherapy adjunct via potent serotonin receptor-7 inhibition using currently marketed high-affinity antipsychotic medicines.""",https://pubmed.ncbi.nlm.nih.gov/20880389,synthesize,synthesizing,because glioblastomas are active in synthesizing a bewildering variety of growth
Abstract,"""Glioblastoma chemotherapy adjunct via potent serotonin receptor-7 inhibition using currently marketed high-affinity antipsychotic medicines.""",https://pubmed.ncbi.nlm.nih.gov/20880389,review,reviewed,changes in glioblastoma is reviewed in this paper.
Abstract,"""Status epilepticus in patients with glioblastoma: Clinical characteristics, risk factors, and epileptological outcome.""",https://pubmed.ncbi.nlm.nih.gov/37748366,treat,treated,-novo glioblastoma treated at our institution between 01/2006 and 01/2020 and
Abstract,"""Role of circulating mitochondria in venous thrombosis in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37178770,develop,develop,patients with glioblastoma multiforme (gbm) develop deep venous thrombosis or
Abstract,"""Metabolic Vulnerabilities in Brain Cancer.""",https://pubmed.ncbi.nlm.nih.gov/33781499,alter,altered,glioblastomas (gbms) exhibit altered metabolism to support a
Abstract,"""Leveraging extrachromosomal DNA to fine-tune trials of targeted therapy for glioblastoma: opportunities and challenges.""",https://pubmed.ncbi.nlm.nih.gov/36131011,facilitate,facilitated,"glioblastoma evolution is facilitated by intratumour heterogeneity, which poses"
Abstract,"""Morphologic and Molecular Aspects of Glioblastomas.""",https://pubmed.ncbi.nlm.nih.gov/33781498,evolve,evolved,definition of glioblastomas has continually evolved from a reliance on strict morphologic
Abstract,"""Morphologic and Molecular Aspects of Glioblastomas.""",https://pubmed.ncbi.nlm.nih.gov/33781498,include,includes,"workup of glioblastomas includes intraoperative evaluations with tissue-sparing techniques,"
Abstract,"""CXCR4 expression in glioblastoma tissue and the potential for PET imaging and treatment with [(68)Ga]Ga-Pentixafor /[(177)Lu]Lu-Pentixather.""",https://pubmed.ncbi.nlm.nih.gov/33550492,associate,associated,in glioblastoma it is associated with a poor prognosis and more
Abstract,"""CXCR4 expression in glioblastoma tissue and the potential for PET imaging and treatment with [(68)Ga]Ga-Pentixafor /[(177)Lu]Lu-Pentixather.""",https://pubmed.ncbi.nlm.nih.gov/33550492,examine,examine,cxcr4 in glioblastoma tissue to further examine the potential of these pet
Abstract,"""CXCR4 expression in glioblastoma tissue and the potential for PET imaging and treatment with [(68)Ga]Ga-Pentixafor /[(177)Lu]Lu-Pentixather.""",https://pubmed.ncbi.nlm.nih.gov/33550492,stain,stained,glioblastoma tissue cores were stained for cxcr4.
Abstract,"""CXCR4 expression in glioblastoma tissue and the potential for PET imaging and treatment with [(68)Ga]Ga-Pentixafor /[(177)Lu]Lu-Pentixather.""",https://pubmed.ncbi.nlm.nih.gov/33550492,undergo,underwent,with recurrent glioblastoma underwent [68ga]ga-pentixafor pet; residual resected
Abstract,"""CXCR4 expression in glioblastoma tissue and the potential for PET imaging and treatment with [(68)Ga]Ga-Pentixafor /[(177)Lu]Lu-Pentixather.""",https://pubmed.ncbi.nlm.nih.gov/33550492,analyze,analyzed,"the 191 glioblastomas, 426 cores were analyzed using immunohistochemistry."
Abstract,"""Pharmacometabolomics Informs Quantitative Radiomics for Glioblastoma Diagnostic Innovation.""",https://pubmed.ncbi.nlm.nih.gov/28816643,serve,serve,suggest that glioblastomas serve as a useful application paradigm.
Abstract,"""Cytomegalovirus and glioblastoma: a review of evidence for their association and indications for testing and treatment.""",https://pubmed.ncbi.nlm.nih.gov/25289896,advance,advances,"mechanisms of glioblastomas, advances in treatment that translate into substantial improvement"
Abstract,"""Cytomegalovirus and glioblastoma: a review of evidence for their association and indications for testing and treatment.""",https://pubmed.ncbi.nlm.nih.gov/25289896,propose,proposed,cytomegalovirus in glioblastoma pathogenesis was proposed more than a decade ago and
Abstract,"""Cytomegalovirus and glioblastoma: a review of evidence for their association and indications for testing and treatment.""",https://pubmed.ncbi.nlm.nih.gov/25289896,demonstrate,demonstrate,treatment of glioblastoma did not demonstrate a beneficial effect on tumor growth
Abstract,"""Bevacizumab for glioblastoma: current indications, surgical implications, and future directions.""",https://pubmed.ncbi.nlm.nih.gov/25581938,neutralize,neutralizing,treating recurrent glioblastomas with the antiangiogenic drug bevacizumab—a neutralizing antibody
Abstract,"""Bevacizumab for glioblastoma: current indications, surgical implications, and future directions.""",https://pubmed.ncbi.nlm.nih.gov/25581938,design,designed,"bevacizumab for glioblastoma treatment to date, ongoing trials designed to address"
Abstract,"""GZ17-6.02 Inhibits the Growth of EGFRvIII+ Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/35456993,promote,promotes,% of glioblastomas and promotes tumor formation and progression.
Abstract,"""GZ17-6.02 Inhibits the Growth of EGFRvIII+ Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/35456993,utilize,utilizing,subset of glioblastomas and our data warrants further preclinical studies utilizing xenograft
Title,"""Glioblastoma arising within sites of encephalomalacia from cerebrovascular insult: two cases and a review of the literature.""",https://pubmed.ncbi.nlm.nih.gov/29422364,arise,arising,glioblastoma arising within sites of encephalomalacia from cerebrovascular insult:
Abstract,"""Glioblastoma arising within sites of encephalomalacia from cerebrovascular insult: two cases and a review of the literature.""",https://pubmed.ncbi.nlm.nih.gov/29422364,result,resulting,"factors in glioblastoma formation, chronic inflammation resulting from non-traumatic"
Abstract,"""Glioblastoma arising within sites of encephalomalacia from cerebrovascular insult: two cases and a review of the literature.""",https://pubmed.ncbi.nlm.nih.gov/29422364,arise,arising,instances of glioblastoma arising within areas of encephalomalacia caused by remote vascular
Abstract,"""Glioblastoma arising within sites of encephalomalacia from cerebrovascular insult: two cases and a review of the literature.""",https://pubmed.ncbi.nlm.nih.gov/29422364,discuss,discuss,"literature associating glioblastoma with prior brain injury, and discuss potential mechanisms"
Abstract,"""Glioblastoma multiforme: a review of therapeutic targets.""",https://pubmed.ncbi.nlm.nih.gov/19409033,present,present,such as glioblastoma multiforme (gbm) present some of the greatest
Title,"""Glioblastoma Molecular Classification Tool Based on mRNA Analysis: From Wet-Lab to Subtype.""",https://pubmed.ncbi.nlm.nih.gov/36555518,base,based,glioblastoma molecular classification tool based on mrna analysis: from
Abstract,"""Glioblastoma Molecular Classification Tool Based on mRNA Analysis: From Wet-Lab to Subtype.""",https://pubmed.ncbi.nlm.nih.gov/36555518,incorporate,incorporate,most glioblastoma studies incorporate the layer of tumor molecular subtype based
Abstract,"""Glioblastoma Molecular Classification Tool Based on mRNA Analysis: From Wet-Lab to Subtype.""",https://pubmed.ncbi.nlm.nih.gov/36555518,apply,applies,"tool for glioblastoma molecular subtyping, and each study applies a different"
Abstract,"""Glioblastoma Molecular Classification Tool Based on mRNA Analysis: From Wet-Lab to Subtype.""",https://pubmed.ncbi.nlm.nih.gov/36555518,use,using,"tool for glioblastoma classification, with high accuracy, while using a"
Abstract,"""Glioblastoma Molecular Classification Tool Based on mRNA Analysis: From Wet-Lab to Subtype.""",https://pubmed.ncbi.nlm.nih.gov/36555518,base,based,tool for glioblastoma molecular classification based on the mrna analysis of only
Abstract,"""Necrosis and glioblastoma: a friend or a foe? A review and a hypothesis.""",https://pubmed.ncbi.nlm.nih.gov/12182418,remain,remains,necrosis in glioblastomas remains unelucidated.
Abstract,"""Necrosis and glioblastoma: a friend or a foe? A review and a hypothesis.""",https://pubmed.ncbi.nlm.nih.gov/12182418,result,results,"patients with glioblastomas, because the hypoxia that results from procoagulation selects"
Abstract,"""Necrosis and glioblastoma: a friend or a foe? A review and a hypothesis.""",https://pubmed.ncbi.nlm.nih.gov/12182418,base,based,development in glioblastomas that is evidence-based is likely to provide
Abstract,"""Role of micro-RNA (miRNA) in pathogenesis of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/26004603,play,play,"pathogenesis of glioblastoma, as mirnas play a critical role in the"
Abstract,"""A Syx-RhoA-Dia1 signaling axis regulates cell cycle progression, DNA damage, and therapy resistance in glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/37427593,lack,lack,glioblastomas (gbm) are aggressive tumors that lack effective
Title,"""Tolerable treatment of glioblastoma with redox-cycling 'mitocans': a comparative study in vivo.""",https://pubmed.ncbi.nlm.nih.gov/37581329,cycle,cycling,treatment of glioblastoma with redox-cycling 'mitocans': a
Abstract,"""Tolerable treatment of glioblastoma with redox-cycling 'mitocans': a comparative study in vivo.""",https://pubmed.ncbi.nlm.nih.gov/37581329,redoxcycle,redoxcycling,treatment of glioblastoma by redoxcycling 'mitocans' such as quinone/
Abstract,"""Tolerable treatment of glioblastoma with redox-cycling 'mitocans': a comparative study in vivo.""",https://pubmed.ncbi.nlm.nih.gov/37581329,treat,treated,performed on glioblastoma mice (orthotopic model) treated with coenzyme q0
Abstract,"""Tolerable treatment of glioblastoma with redox-cycling 'mitocans': a comparative study in vivo.""",https://pubmed.ncbi.nlm.nih.gov/37581329,treat,treated,observed in glioblastoma mice treated with q0/a.discussion: q0/
Abstract,"""Tolerable treatment of glioblastoma with redox-cycling 'mitocans': a comparative study in vivo.""",https://pubmed.ncbi.nlm.nih.gov/37581329,cause,causing,", particularly glioblastoma, from normal ones by redox targeting, causing"
Abstract,"""Risk factors for glioblastoma in adults in Japan: an exploratory cohort study based on the Shizuoka Kokuho Database, the Shizuoka study.""",https://pubmed.ncbi.nlm.nih.gov/38206510,utilize,utilizing,onset of glioblastoma (gbm) utilizing a comprehensive administrative claims database
Abstract,"""Baseballs, tennis balls, livestock farm manure, the IDH1 mutation, endothelial cell proliferation and hypoxic pseudopalisading (granulomatous) necrosis: Mycobacterium avium subspecies paratuberculosis and the epidemiology, cellular metabolism and histology of diffuse gliomas, including glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31086759,note,noted,", including glioblastoma, has been noted in livestock farmers in western"
Abstract,"""Baseballs, tennis balls, livestock farm manure, the IDH1 mutation, endothelial cell proliferation and hypoxic pseudopalisading (granulomatous) necrosis: Mycobacterium avium subspecies paratuberculosis and the epidemiology, cellular metabolism and histology of diffuse gliomas, including glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31086759,handle,handle,rates of glioblastoma in tennis and baseball players who handle balls coated
Abstract,"""Baseballs, tennis balls, livestock farm manure, the IDH1 mutation, endothelial cell proliferation and hypoxic pseudopalisading (granulomatous) necrosis: Mycobacterium avium subspecies paratuberculosis and the epidemiology, cellular metabolism and histology of diffuse gliomas, including glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31086759,define,defining,consistent with glioblastoma's two defining histopathologic characteristics: endothelial cell proliferation
Abstract,"""Glioblastoma metastases: a literature review and a description of six clinical observations.""",https://pubmed.ncbi.nlm.nih.gov/26146042,locate,located,cases of glioblastoma metastases with the development of foci located at a
